1,843
2,4789
3,4750
4,4929
5,4976
6,4828
7,4453
8,4492
9,4921
10,4593
11,4687
12,4335
13,5039
14,4617
15,4898
16,4546
17,4429
18,4906
19,4875
20,4593
21,4890
22,4851
23,4679
24,4593
25,4703
26,4484
27,4414
28,4742
29,4359
30,4406
31,4375
32,3960
33,4304
34,4117
35,4195
36,4335
37,3898
38,4078
39,3507
40,3953
41,3976
42,4000
43,3828
44,3765
45,3898
46,3625
47,3734
48,3796
49,3750
50,3500
51,3585
52,3562
53,3343
54,3429
55,3585
56,3617
57,4062
58,5140
59,7203
60,9015
61,11953
62,14320
63,17554
64,20890
65,21765
66,25539
67,23515
68,18453
69,21304
70,17546
71,24976
72,19359
73,21304
74,22250
75,18593
76,19820
77,21312
78,21578
79,22390
80,12671
81,27296
82,14875
83,16382
84,17882
85,19320
86,20656
87,20359
88,19960
89,20562
90,21742
91,19835
92,20296
93,9109
94,9898
95,9859
96,10375
97,11164
98,11382
99,12273
100,12695
101,13062
102,13578
103,14023
104,14578
105,15304
106,15968
107,16554
108,16710
109,17703
110,18406
111,19046
112,19921
113,20406
114,16351
115,16484
116,17031
117,17695
118,18023
119,18406
120,18695
121,19093
122,19687
123,20250
124,19171
125,19796
126,20531
127,13929
128,14304
129,14703
130,14726
131,15148
132,15546
133,15781
134,15960
135,16500
136,16710
137,16601
138,16867
139,17164
140,17382
141,17437
142,18242
143,18109
144,18164
145,18468
146,18414
147,19164
148,18875
149,18929
150,19070
151,19421
152,19343
153,19531
154,19343
155,19687
156,19617
157,19968
158,19851
159,20789
160,11742
161,11179
162,11257
163,11796
164,11468
165,11273
166,11359
167,11281
168,10945
169,11367
170,11312
171,11359
172,11203
173,11171
174,11132
175,11398
176,11109
177,10320
178,19390
179,20203
180,11437
181,10757
182,10382
183,18757
184,19015
185,18773
186,19031
187,18468
188,18679
189,18367
190,18312
191,18164
192,18375
193,17382
194,17164
195,16828
196,16718
197,16851
198,16312
199,16054
200,15773
201,15328
202,15171
203,15007
204,14820
205,14414
206,13984
207,13578
208,19718
209,19343
210,18953
211,18296
212,17867
213,17210
214,17000
215,16468
216,16218
217,16070
218,14921
219,19187
220,18234
221,17929
222,17460
223,16476
224,16718
225,15875
226,15218
227,14695
228,14039
229,13304
230,12593
231,12890
232,12179
233,11617
234,10976
235,10468
236,9867
237,9421
238,9093
239,8421
240,21234
241,7812
242,20828
243,17835
244,18593
245,17460
246,18257
247,18187
248,17882
249,16484
250,15031
251,14015
252,12343
253,18078
254,17726
255,16609
256,14867
257,13632
258,12210
259,16851
260,16960
261,18242
262,16929
263,16257
264,17281
265,17414
266,16171
267,16570
268,16523
269,14585
270,11890
271,10398
272,7929
273,6687
274,5070
275,3976
276,2718
277,2039
278,2054
279,1390
280,1312
281,1179
282,851
283,671
284,812
285,968
286,1015
287,929
288,945
289,812
290,726
291,859
292,867
293,1132
294,960
295,898
296,781
297,1054
298,1007
299,1046
300,679
301,1015
302,890
303,1187
304,718
305,968
306,1062
307,890
308,1132
309,1140
310,1085
311,1054
312,1140
313,789
314,1078
315,882
316,929
317,1000
318,1085
319,1140
320,1148
321,1000
322,1242
323,820
